num,compound,Tc,a,elements,1,2,perc_1_in_2
100787,MoC,14.3,4.39,BASE,,,
EXT,TaC,10,4.51,BASE,,,
109073,NbC,11.2,4.5,BASE,,,
101374,HfN,8.83,4.54,BASE,,,
EXT,NbN,15,4.44,BASE,,,
154005,TiN,5.6,4.31,BASE,,,
104121,ZrN,9.8,4.62,BASE,,,
155746,VN,8.32,4.24,BASE,,,
102433,TaN,4.84,4.45,BASE,,,
40306,MoN,4.2,4.39,BASE,,,
100749,HfC,1,4.65,BASE,,,
EXT,VC,1,4.19,BASE,,,
EXT,TiC,1.5,4.41,BASE,,,
EXT,ZrC,2,4.72,BASE,,,
100745,C1Hf0.15Mo0.85,9,4.429,Hf Mo C,HfC,MoC,0.15
103845,C1Hf0.25Mo0.75,6.6,4.455,Hf Mo C,HfC,MoC,0.25
103846,C1Hf0.3Mo0.7,5.5,4.468,Hf Mo C,HfC,MoC,0.3
103847,C1Hf0.5Mo0.5,3.4,4.52,Hf Mo C,HfC,MoC,0.5
103864,C1Hf0.25Nb0.75,7,4.5375,Hf Nb C,HfC,NbC,0.25
103841,C1Hf0.4Nb0.6,5.6,4.56,Hf Nb C,HfC,NbC,0.4
103842,C1Hf0.5Nb0.5,4.8,4.575,Hf Nb C,HfC,NbC,0.5
103843,C1Hf0.6Nb0.4,4.5,4.59,Hf Nb C,HfC,NbC,0.6
103844,C1Hf0.7Nb0.3,6.1,4.605,Hf Nb C,HfC,NbC,0.7
103874,C1Ta0.15Mo0.85,8.9,4.408,Mo Ta C,TaC,MoC,0.15
103875,C1Ta0.2Mo0.8,8.7,4.414,Mo Ta C,TaC,MoC,0.2
103876,C1Ta0.25Mo0.75,8.5,4.42,Mo Ta C,TaC,MoC,0.25
103853,C1Ta0.5Mo0.5,7.7,4.45,Mo Ta C,TaC,MoC,0.5
103854,C1Ta0.8Mo0.2,7.5,4.486,Mo Ta C,TaC,MoC,0.8
109225,C1Ta0.2Nb0.8,9.9,4.502,Nb Ta C,TaC,NbC,0.2
109226,C1Ta0.4Nb0.6,9.4,4.504,Nb Ta C,TaC,NbC,0.4
150551,C1Ta0.5Nb0.5,11.1,4.505,Nb Ta C,TaC,NbC,0.5
109227,C1Ta0.6Nb0.4,9.7,4.506,Nb Ta C,TaC,NbC,0.6
109228,C1Ta0.75Nb0.25,9.8,4.5075,Nb Ta C,TaC,NbC,0.75
109229,C1Mo0.05Nb0.95,12.1,4.4945,Mo Nb C,MoC,NbC,0.05
109230,C1Mo0.15Nb0.85,12.7,4.4835,Mo Nb C,MoC,NbC,0.15
109075,C1Mo0.29Nb0.71,13.45,4.4681,Mo Nb C,MoC,NbC,0.29
109232,C1Mo0.49Nb0.51,12.22,4.4461,Mo Nb C,MoC,NbC,0.49
109233,C1Mo0.7Nb0.3,12.1,4.423,Mo Nb C,MoC,NbC,0.7
109234,C1Mo0.85Nb0.15,12,4.4065,Mo Nb C,MoC,NbC,0.85
EXT,Hf0.05Nb0.95N1,14.12916,4.445,Hf Nb N,HfN,NbN,0.05
EXT,Hf0.07Nb0.93N1,13.78118,4.447,Hf Nb N,HfN,NbN,0.07
EXT,Hf0.15Nb0.85N1,12.60988,4.455,Hf Nb N,HfN,NbN,0.15
EXT,Hf0.2Nb0.8N1,11.91374,4.46,Hf Nb N,HfN,NbN,0.2
EXT,Hf0.32Nb0.68N1,10.30045,4.472,Hf Nb N,HfN,NbN,0.32
112414,Hf0.33Nb0.67N1,10.2,4.473,Hf Nb N,HfN,NbN,0.33
EXT,Hf0.49Nb0.51N1,7.609694,4.489,Hf Nb N,HfN,NbN,0.49
EXT,Hf0.64Nb0.36N1,6.219671,4.504,Hf Nb N,HfN,NbN,0.64
112416,Hf0.65Nb0.35N1,6.05,4.505,Hf Nb N,HfN,NbN,0.65
EXT,Hf0.75Nb0.25N1,5.652872,4.515,Hf Nb N,HfN,NbN,0.75
112417,Hf0.9Nb0.1N1,5.47,4.53,Hf Nb N,HfN,NbN,0.9
EXT,Hf0.95Nb0.05N1,6.201625,4.535,Hf Nb N,HfN,NbN,0.95
EXT,Zr0.05Nb0.95N1,14.2,4.449,Nb Zr N,ZrN,NbN,0.05
112424,Zr0.15Nb0.85N1,13.7,4.467,Nb Zr N,ZrN,NbN,0.15
EXT,Zr0.24Nb0.76N1,12.61423,4.4832,Nb Zr N,ZrN,NbN,0.24
EXT,Zr0.32Nb0.68N1,11.9195,4.4976,Nb Zr N,ZrN,NbN,0.32
EXT,Zr0.5Nb0.5N1,10.97515,4.53,Nb Zr N,ZrN,NbN,0.5
EXT,Zr0.64Nb0.36N1,10.41024,4.5552,Nb Zr N,ZrN,NbN,0.64
EXT,Zr0.75Nb0.25N1,10.16128,4.575,Nb Zr N,ZrN,NbN,0.75
EXT,Zr0.9Nb0.1N1,10.04063,4.602,Nb Zr N,ZrN,NbN,0.9
EXT,Nb1C0.05N0.95,16.01639,4.443,Nb C N,NbC,NbN,0.05
EXT,Nb1C0.09N0.91,16.79141,4.4454,Nb C N,NbC,NbN,0.09
EXT,Nb1C0.10N0.9,16.95124,4.446,Nb C N,NbC,NbN,0.1
EXT,Nb1C0.12N0.88,17.16337,4.4472,Nb C N,NbC,NbN,0.12
EXT,Nb1C0.15N0.85,17.42753,4.449,Nb C N,NbC,NbN,0.15
EXT,Nb1C0.22N0.78,17.81721,4.4532,Nb C N,NbC,NbN,0.22
EXT,Nb1C0.28N0.72,17.88551,4.4568,Nb C N,NbC,NbN,0.28
100816,Nb1C0.35N0.65,17.8,4.461,Nb C N,NbC,NbN,0.35
EXT,Nb1C0.42N0.58,17.77421,4.4652,Nb C N,NbC,NbN,0.42
EXT,Nb1C0.5N0.5,17.29792,4.47,Nb C N,NbC,NbN,0.5
EXT,Nb1C0.6N0.4,16.11374,4.476,Nb C N,NbC,NbN,0.6
EXT,Nb1C0.75N0.25,14.13536,4.485,Nb C N,NbC,NbN,0.75
EXT,Nb1C0.88N0.12,12.43188,4.4928,Nb C N,NbC,NbN,0.88
EXT,Ti0.1Nb0.9N1,16.29015,4.427,Nb Ti N,TiN,NbN,0.1
EXT,Ti0.15Nb0.85N1,16.6,4.4205,Nb Ti N,TiN,NbN,0.15
EXT,Ti0.25Nb0.75N1,16.9,4.4075,Nb Ti N,TiN,NbN,0.25
EXT,Ti0.3Nb0.7N1,17.06104,4.401,Nb Ti N,TiN,NbN,0.3
EXT,Ti0.35Nb0.65N1,16.99991,4.3945,Nb Ti N,TiN,NbN,0.35
EXT,Ti0.39Nb0.61N1,16.84325,4.3893,Nb Ti N,TiN,NbN,0.39
EXT,Ti0.5Nb0.5N1,15.67347,4.375,Nb Ti N,TiN,NbN,0.5
EXT,Ti0.6Nb0.4N1,13.8048,4.362,Nb Ti N,TiN,NbN,0.6
EXT,Ti0.64Nb0.36N1,13.23554,4.3568,Nb Ti N,TiN,NbN,0.64
EXT,Ti0.75Nb0.25N1,9.938681,4.3425,Nb Ti N,TiN,NbN,0.75
EXT,Ti0.9Nb0.1N1,6.612339,4.323,Nb Ti N,TiN,NbN,0.9
EXT,V0.02Nb0.98N1,11.93745,4.436,Nb V N,VN,NbN,0.02
EXT,V0.03Nb0.97N1,10.03335,4.434,Nb V N,VN,NbN,0.03
EXT,V0.07Nb0.93N1,7.145975,4.426,Nb V N,VN,NbN,0.07
EXT,V0.11Nb0.89N1,5.465514,4.418,Nb V N,VN,NbN,0.11
EXT,V0.2Nb0.8N1,4.00907,4.4,Nb V N,VN,NbN,0.2
EXT,V0.3Nb0.7N1,3.219766,4.38,Nb V N,VN,NbN,0.3
EXT,V0.4Nb0.6N1,3.097222,4.36,Nb V N,VN,NbN,0.4
EXT,V0.5Nb0.5N1,3.546296,4.34,Nb V N,VN,NbN,0.5
EXT,V0.64Nb0.36N1,5.235544,4.312,Nb V N,VN,NbN,0.64
EXT,V0.75Nb0.25N1,6.668745,4.29,Nb V N,VN,NbN,0.75
EXT,V0.9Nb0.1N1,8.707577,4.26,Nb V N,VN,NbN,0.9
EXT,V1C0.04N0.96,9.18768,4.238,V C N,VC,VN,0.04
EXT,V1C0.1N0.9,9.51045,4.235,V C N,VC,VN,0.1
EXT,V1C0.15N0.85,9.68178,4.2325,V C N,VC,VN,0.15
EXT,V1C0.2N0.8,9.745136,4.23,V C N,VC,VN,0.2
EXT,V1C0.3N0.7,9.763649,4.225,V C N,VC,VN,0.3
EXT,V1C0.4N0.6,9.565947,4.22,V C N,VC,VN,0.4
EXT,V1C0.5N0.5,9.044009,4.215,V C N,VC,VN,0.5
EXT,V1C0.6N0.4,7.851623,4.21,V C N,VC,VN,0.6
EXT,V1C0.8N0.2,4.018381,4.2,V C N,VC,VN,0.8
EXT,V1C0.9N0.1,2.134325,4.195,V C N,VC,VN,0.9
EXT,Hf0.04C0.04Nb0.96N0.96,15.48453,4.4484,Hf Nb C N,HfC,NbN,0.04
EXT,Hf0.09C0.09Nb0.91N0.91,15.41138,4.4589,Hf Nb C N,HfC,NbN,0.09
EXT,Hf0.15C0.15Nb0.85N0.85,14.27548,4.4715,Hf Nb C N,HfC,NbN,0.15
EXT,Hf0.2C0.2Nb0.8N0.8,13.31739,4.482,Hf Nb C N,HfC,NbN,0.2
EXT,Hf0.25C0.25Nb0.75N0.75,12.81923,4.4925,Hf Nb C N,HfC,NbN,0.25
EXT,Ta0.1C0.1Nb0.9N0.9,15.63184,4.447,Nb Ta C N,TaC,NbN,0.1
EXT,Ta0.19C0.19Nb0.81N0.81,16.22408,4.4533,Nb Ta C N,TaC,NbN,0.19
EXT,Ta0.25C0.25Nb0.75N0.75,16.37989,4.4575,Nb Ta C N,TaC,NbN,0.25
EXT,Ta0.29C0.29Nb0.71N0.71,16.45591,4.4603,Nb Ta C N,TaC,NbN,0.29
EXT,Ta0.35C0.35Nb0.65N0.65,16.49193,4.4645,Nb Ta C N,TaC,NbN,0.35
EXT,Ta0.39C0.39Nb0.61N0.61,16.36816,4.4673,Nb Ta C N,TaC,NbN,0.39
